round,race,driverCode,points
1,Bahrain,VER,25.0
1,Bahrain,PER,18.0
1,Bahrain,ALO,15.0
1,Bahrain,SAI,12.0
1,Bahrain,HAM,10.0
1,Bahrain,STR,8.0
1,Bahrain,RUS,6.0
1,Bahrain,BOT,4.0
1,Bahrain,GAS,2.0
1,Bahrain,ALB,1.0
1,Bahrain,TSU,0.0
1,Bahrain,SAR,0.0
1,Bahrain,MAG,0.0
1,Bahrain,DEV,0.0
1,Bahrain,HUL,0.0
1,Bahrain,ZHO,0.0
1,Bahrain,NOR,0.0
1,Bahrain,OCO,0.0
1,Bahrain,LEC,0.0
1,Bahrain,PIA,0.0
2,Saudi Arabian,PER,25.0
2,Saudi Arabian,VER,19.0
2,Saudi Arabian,ALO,15.0
2,Saudi Arabian,RUS,12.0
2,Saudi Arabian,HAM,10.0
2,Saudi Arabian,SAI,8.0
2,Saudi Arabian,LEC,6.0
2,Saudi Arabian,OCO,4.0
2,Saudi Arabian,GAS,2.0
2,Saudi Arabian,MAG,1.0
2,Saudi Arabian,TSU,0.0
2,Saudi Arabian,HUL,0.0
2,Saudi Arabian,ZHO,0.0
2,Saudi Arabian,DEV,0.0
2,Saudi Arabian,PIA,0.0
2,Saudi Arabian,SAR,0.0
2,Saudi Arabian,NOR,0.0
2,Saudi Arabian,BOT,0.0
2,Saudi Arabian,ALB,0.0
2,Saudi Arabian,STR,0.0
3,Australian,VER,25.0
3,Australian,HAM,18.0
3,Australian,ALO,15.0
3,Australian,STR,12.0
3,Australian,PER,11.0
3,Australian,NOR,8.0
3,Australian,HUL,6.0
3,Australian,PIA,4.0
3,Australian,ZHO,2.0
3,Australian,TSU,1.0
3,Australian,BOT,0.0
3,Australian,SAI,0.0
3,Australian,GAS,0.0
3,Australian,OCO,0.0
3,Australian,DEV,0.0
3,Australian,SAR,0.0
3,Australian,MAG,0.0
3,Australian,RUS,0.0
3,Australian,ALB,0.0
3,Australian,LEC,0.0
4,Azerbaijan,PER,33.0
4,Azerbaijan,VER,24.0
4,Azerbaijan,LEC,22.0
4,Azerbaijan,ALO,15.0
4,Azerbaijan,SAI,14.0
4,Azerbaijan,HAM,10.0
4,Azerbaijan,STR,7.0
4,Azerbaijan,RUS,10.0
4,Azerbaijan,NOR,2.0
4,Azerbaijan,TSU,1.0
4,Azerbaijan,PIA,0.0
4,Azerbaijan,ALB,0.0
4,Azerbaijan,MAG,0.0
4,Azerbaijan,GAS,0.0
4,Azerbaijan,OCO,0.0
4,Azerbaijan,SAR,0.0
4,Azerbaijan,HUL,0.0
4,Azerbaijan,BOT,0.0
4,Azerbaijan,ZHO,0.0
4,Azerbaijan,DEV,0.0
5,Miami,VER,26.0
5,Miami,PER,18.0
5,Miami,ALO,15.0
5,Miami,RUS,12.0
5,Miami,SAI,10.0
5,Miami,HAM,8.0
5,Miami,LEC,6.0
5,Miami,GAS,4.0
5,Miami,OCO,2.0
5,Miami,MAG,1.0
5,Miami,TSU,0.0
5,Miami,STR,0.0
5,Miami,BOT,0.0
5,Miami,ALB,0.0
5,Miami,HUL,0.0
5,Miami,ZHO,0.0
5,Miami,NOR,0.0
5,Miami,DEV,0.0
5,Miami,PIA,0.0
5,Miami,SAR,0.0
6,Monaco,VER,25.0
6,Monaco,ALO,18.0
6,Monaco,OCO,15.0
6,Monaco,HAM,13.0
6,Monaco,RUS,10.0
6,Monaco,LEC,8.0
6,Monaco,GAS,6.0
6,Monaco,SAI,4.0
6,Monaco,NOR,2.0
6,Monaco,PIA,1.0
6,Monaco,BOT,0.0
6,Monaco,DEV,0.0
6,Monaco,ZHO,0.0
6,Monaco,ALB,0.0
6,Monaco,TSU,0.0
6,Monaco,PER,0.0
6,Monaco,HUL,0.0
6,Monaco,SAR,0.0
6,Monaco,MAG,0.0
6,Monaco,STR,0.0
7,Spanish,VER,26.0
7,Spanish,HAM,18.0
7,Spanish,RUS,15.0
7,Spanish,PER,12.0
7,Spanish,SAI,10.0
7,Spanish,STR,8.0
7,Spanish,ALO,6.0
7,Spanish,OCO,4.0
7,Spanish,ZHO,2.0
7,Spanish,GAS,1.0
7,Spanish,LEC,0.0
7,Spanish,TSU,0.0
7,Spanish,PIA,0.0
7,Spanish,DEV,0.0
7,Spanish,HUL,0.0
7,Spanish,ALB,0.0
7,Spanish,NOR,0.0
7,Spanish,MAG,0.0
7,Spanish,BOT,0.0
7,Spanish,SAR,0.0
8,Canadian,VER,25.0
8,Canadian,ALO,18.0
8,Canadian,HAM,15.0
8,Canadian,LEC,12.0
8,Canadian,SAI,10.0
8,Canadian,PER,9.0
8,Canadian,ALB,6.0
8,Canadian,OCO,4.0
8,Canadian,STR,2.0
8,Canadian,BOT,1.0
8,Canadian,PIA,0.0
8,Canadian,GAS,0.0
8,Canadian,NOR,0.0
